track_id,track_name,artist_name,album_name,release_date,duration_ms,explicit,popularity,danceability,energy,key,loudness,tempo,genre
439c6acc-6aae-4668-b8ee-3589de742846,Degree care exactly,Dawn Manning,White,"January 16, 2022",278430.0,TRUE,59,0.86,0.61,4,-43.25,140.72,
63a06b83-7bd1-4d66-9b21-1152874ec78f,Condition something prepare,Joanna Estes,Pretty,11-22-2024,,yes,34,0.9,0.07,,-11.49,145.08,Pop
b13f9ddc-1a9d-40bf-9d2e-9173411557cf,Without miss skill,unknown,Every,"March 23, 2024",258149.0,no,,0.51,0.59,Z,-42.37,134.15,R&B
a9f14b97-f634-450c-83bf-d06b579f60fa,Huge energy few,Ellen Navarro,Event,02-08-2021,,yes,,0.36,0.15,3,-21.0,102.68,Metal
47ce52c1-ccd7-44a6-9cfa-2e21fd3f5720,Kitchen,Melinda Kennedy,Us,2025-01-04,,False,,0.43,0.14,0,-9.14,145.83,Jazz
b9f73302-1ee9-472c-acc0-75ee1ea714a5,Involve others ball,unknown,Sign,06-13-2018,278138.0,false,,,0.94,10,-46.78,90.11,Metal
874069d5-fb9e-4b6d-ae12-5a28b2350a9c,Hold power help,William Stark,Might,"July 12, 2024",276404.0,True,,0.21,0.82,11,-47.43,196.56,R&B
d5a6ed1f-81b2-4667-b07c-9b82be9f2cd1,Certainly note,Linda Miller,Hair,2017-10-20,281312.0,True,,0.96,0.32,1,-56.28,124.09,Metal
0cac93f4-b721-4eb2-8b05-1159501cad45,Science,Corey Le,Green,24/07/2022,,False,,0.47,0.62,11,-46.2,60.22,Electronic
d318a6aa-ea2f-4b53-acdc-17c0ef914521,Reduce support,Laura Santos,Describe,"March 17, 2018",,False,27,0.43,0.61,11,-24.4,109.28,Reggae
82dbf974-02fa-48f0-bc85-9660ff0cb15e,Check truth anyone,James Walker,Employee,"October 07, 2019",,no,25,0.87,0.98,,-8.18,112.44,Metal
16f3895a-e871-4961-8bc7-9a60def34363,Quickly experience,Mark Kelly,After,11-28-2020,193690.0,no,,,0.53,9,-15.56,110.57,Reggae
